iter	Logloss
0	0.6683664937
1	0.6472892318
2	0.6301779506
3	0.615467256
4	0.6041642046
5	0.594947617
6	0.5865673579
7	0.5791339871
8	0.5733199857
9	0.5687555983
10	0.5640028436
11	0.5594173592
12	0.5560794694
13	0.5516496584
14	0.5484652336
15	0.545692778
16	0.5432290365
17	0.5408679367
18	0.5379118753
19	0.5351446105
20	0.5331557506
21	0.5316754116
22	0.5295390634
23	0.5280809154
24	0.5264578901
25	0.5249728343
26	0.5227997438
27	0.5218244994
28	0.5204777765
29	0.5187217721
30	0.5171943868
31	0.5149555391
32	0.514122414
33	0.5130443459
34	0.5117647768
35	0.5104326026
36	0.5093772709
37	0.5074452332
38	0.5052739692
39	0.5040049586
40	0.5025069556
41	0.500931528
42	0.4995855133
43	0.4971930506
44	0.496303915
45	0.4949545855
46	0.4928307812
47	0.4918120574
48	0.490239473
49	0.4895049894
50	0.4866774535
51	0.4855246794
52	0.4844080745
53	0.4825151205
54	0.4814961034
55	0.4800329055
56	0.4792601713
57	0.4778477228
58	0.4767833031
59	0.4758126727
60	0.4744111676
61	0.4733984652
62	0.4720548567
63	0.4706298985
64	0.469785511
65	0.4686894361
66	0.4677123194
67	0.466629316
68	0.4647313093
69	0.4635404077
70	0.4620145454
71	0.4609509094
72	0.4600936751
73	0.4585827392
74	0.4573573556
75	0.4568385417
76	0.4555355864
77	0.4539993962
78	0.4522156133
79	0.451294328
80	0.4494314127
81	0.4478225621
82	0.4468398492
83	0.4462711644
84	0.4445470084
85	0.4434806656
86	0.4425152667
87	0.4412930618
88	0.4398639502
89	0.4392947117
90	0.4383143056
91	0.4377736607
92	0.4366384117
93	0.4360902065
94	0.4348235498
95	0.4339437797
96	0.4321447953
97	0.430922751
98	0.4302047376
99	0.4292166353
100	0.4281006537
101	0.4258859654
102	0.4245770174
103	0.4239594506
104	0.4229286102
105	0.4220567294
106	0.4209816112
107	0.4202795272
108	0.4191102057
109	0.4178617857
110	0.4163724537
111	0.4153408307
112	0.4143118781
113	0.4130739209
114	0.4119804398
115	0.4110678521
116	0.4101557073
117	0.4087772649
118	0.4071563519
119	0.4054170204
120	0.40380899
121	0.4025412575
122	0.4008683601
123	0.3995235747
124	0.3983496598
125	0.3968633773
126	0.3961599479
127	0.3947404945
128	0.3936011332
129	0.392710562
130	0.3915281617
131	0.3908295105
132	0.3895437091
133	0.3882613225
134	0.3871292866
135	0.3864433374
136	0.3849859987
137	0.3838974673
138	0.3828294605
139	0.3807734139
140	0.379884585
141	0.3788697962
142	0.3776844526
143	0.3770627102
144	0.3757280784
145	0.3749409565
146	0.3738493221
147	0.3724528466
148	0.3715495075
149	0.3704580843
150	0.3700654578
151	0.3692104055
152	0.3681387687
153	0.3672767355
154	0.3663656538
155	0.3653949158
156	0.3648857688
157	0.3631831281
158	0.3622660553
159	0.3614445665
160	0.360540855
161	0.3598794614
162	0.3592761025
163	0.3586768382
164	0.3575673462
165	0.3564097044
166	0.3548084193
167	0.3534109357
168	0.3516750508
169	0.3499505646
170	0.3491611548
171	0.3481738434
172	0.3473654768
173	0.3463541598
174	0.3455119414
175	0.3447759116
176	0.343608953
177	0.3429333353
178	0.3424685196
179	0.3414777203
180	0.3403076922
181	0.339940301
182	0.3391959355
183	0.3386722683
184	0.3374564641
185	0.3365124299
186	0.3360783969
187	0.3351498604
188	0.3340119871
189	0.3328508669
190	0.3313263776
191	0.3303449504
192	0.3295251303
193	0.3288559981
194	0.3279112867
195	0.3271159873
196	0.3264630662
197	0.3250729556
198	0.3239516357
199	0.3229247329
